,2P%,FT%,TRB,AST,STL,PTS,Pos
265,0.445,0.841,99,126,36,845,4.0
266,0.448,0.864,54,87,26,496,4.0
267,0.441,0.8,45,39,10,349,4.0
268,0.487,0.756,329,72,32,535,5.0
269,0.49,0.86,223,362,101,1292,4.0
270,0.465,0.889,122,222,49,558,3.0
271,0.574,0.766,821,272,59,2095,1.0
272,0.431,0.591,48,19,7,63,5.0
273,0.436,0.579,40,18,6,59,5.0
274,0.348,0.591,65,25,5,59,2.0
275,0.505,0.816,176,618,75,1106,3.0
276,0.499,0.709,607,98,74,1145,2.0
277,0.47,0.847,580,195,118,1271,5.0
278,0.492,0.708,427,240,80,1061,5.0
279,0.501,0.854,157,196,82,1062,4.0
280,0.448,0.654,93,15,3,105,2.0
281,0.475,0.772,400,172,72,924,1.0
282,0.408,0.684,74,200,47,335,3.0
283,0.489,0.863,895,451,161,1741,2.0
284,0.551,0.697,258,233,93,1747,4.0
285,0.449,0.798,84,161,33,406,4.0
286,0.484,0.702,193,188,186,657,4.0
287,0.404,0.811,198,452,136,802,3.0
288,0.518,0.375,281,55,43,217,2.0
289,0.439,0.798,86,148,61,642,4.0
290,0.387,0.765,33,55,34,217,4.0
291,0.472,0.813,53,93,27,425,4.0
292,0.494,0.884,289,234,88,1290,5.0
293,0.449,0.838,430,383,63,713,5.0
294,0.482,0.706,442,208,99,1202,5.0
295,0.496,0.832,175,233,88,1206,4.0
296,0.486,0.791,440,189,72,953,2.0
297,0.495,0.734,298,384,197,1092,3.0
298,0.415,0.769,84,140,74,297,4.0
299,0.48,0.764,177,113,29,561,5.0
300,0.353,0.714,12,28,5,52,3.0
301,0.383,0.63,61,58,15,208,4.0
302,0.402,0.64,52,49,14,192,4.0
303,0.513,0.714,835,192,76,1230,2.0
304,0.475,0.791,83,56,30,248,5.0
305,0.492,0.716,759,117,50,1547,1.0
306,0.468,0.737,65,52,23,301,5.0
307,0.335,0.739,69,76,22,169,4.0
308,0.554,0.788,613,111,48,1646,1.0
309,0.536,0.787,245,560,193,763,3.0
310,0.333,1.0,8,7,0,29,4.0
311,0.506,0.653,657,153,39,882,2.0
312,0.361,0.667,41,25,11,94,4.0
313,0.447,0.776,268,190,104,931,5.0
314,0.436,0.846,187,115,69,597,5.0
315,0.468,0.673,81,75,35,334,5.0
316,0.475,0.733,236,297,141,904,4.0
317,0.468,0.645,467,201,82,672,5.0
318,0.499,0.785,336,332,133,763,4.0
319,0.453,0.689,440,52,18,489,1.0
320,0.492,0.714,636,117,42,857,1.0
321,0.472,0.864,100,283,61,626,3.0
322,0.541,0.707,292,62,31,595,1.0
323,0.456,0.516,155,25,20,219,1.0
324,0.428,0.718,83,60,16,230,5.0
325,0.56,0.806,509,322,109,2452,5.0
326,0.578,0.799,151,385,52,626,3.0
327,0.477,0.796,170,480,95,1094,3.0
328,0.448,0.595,119,47,36,374,5.0
329,0.541,0.836,200,302,97,1402,4.0
330,0.508,0.63,243,28,12,314,2.0
331,0.459,0.694,265,118,48,371,1.0
332,0.578,0.548,384,69,25,472,1.0
333,0.459,0.787,383,79,98,1454,5.0
334,0.413,0.797,120,249,88,504,3.0
335,0.465,0.667,39,30,12,168,5.0
336,0.381,0.929,5,6,5,79,4.0
337,0.502,0.839,118,268,64,777,4.0
338,0.415,0.653,301,81,66,371,4.0
339,0.33,0.556,35,54,18,71,3.0
340,0.51,0.703,571,212,32,1266,1.0
341,0.511,0.599,261,129,34,550,1.0
342,0.494,0.85,646,290,106,1929,5.0
343,0.525,0.787,657,364,173,2014,5.0
344,0.477,0.781,87,167,34,320,3.0
345,0.465,0.736,163,295,100,728,4.0
346,0.452,0.917,164,84,15,222,5.0
347,0.485,0.831,128,580,99,1153,3.0
348,0.454,0.814,159,361,85,1565,4.0
349,0.369,0.75,42,28,10,60,4.0
350,0.513,0.809,99,169,94,371,3.0
351,0.528,0.731,52,99,55,192,3.0
352,0.496,0.857,47,70,39,179,3.0
353,0.454,0.806,264,132,50,427,5.0
354,0.383,0.675,67,15,10,109,5.0
355,0.396,0.655,29,6,3,57,5.0
356,0.373,0.727,38,9,7,52,5.0
357,0.496,0.826,419,260,94,2221,4.0
358,0.562,0.891,88,108,72,672,3.0
359,0.424,0.767,419,72,54,737,1.0
360,0.474,0.818,307,83,91,422,2.0
361,0.482,0.722,116,235,75,422,3.0
362,0.487,0.748,724,218,77,1179,2.0
363,0.471,0.841,219,300,68,1289,4.0
364,0.473,0.716,288,194,106,1671,4.0
365,0.538,0.849,328,251,90,641,5.0
366,0.482,0.793,153,111,58,396,5.0
367,0.421,0.435,93,17,23,149,2.0
368,0.489,0.81,68,74,13,356,4.0
369,0.48,0.769,25,18,5,138,4.0
370,0.5,0.875,43,56,8,218,4.0
371,0.524,0.799,561,168,73,889,1.0
372,0.454,0.617,789,98,68,1439,2.0
373,0.383,0.782,348,122,104,377,2.0
374,0.462,0.72,132,213,79,636,3.0
375,0.416,0.821,104,307,53,352,4.0
376,0.456,0.854,211,148,91,1094,4.0
377,0.466,0.814,145,408,101,562,3.0
378,0.442,0.693,228,202,129,677,3.0
379,0.357,0.82,159,292,66,375,3.0
380,0.339,0.84,51,118,26,120,3.0
381,0.366,0.811,108,174,40,255,3.0
382,0.426,0.714,29,23,21,130,4.0
383,0.477,0.731,191,352,104,781,3.0
384,0.463,0.699,458,104,33,572,2.0
385,0.493,0.69,586,150,80,1161,2.0
386,0.491,0.708,138,394,58,1073,3.0
